comm;no_comm;um;comtrade_code;comext_code;usitc_code;ds_code;imf_code;quandl_code;eurostat_code;source;critical
Aluminium;25;kg;7601;;;LAHCASH;PALUM;ODA/PALUM_USD;;imf;no
Anhydrite;288;kg;252010;;;;;;;comtrade;no
Argon;59;kg;280421;;;;;;;comtrade;no
Barite;70;kg;251110;;;;;;;comtrade;yes
Basalt;72;kg;2516;;;;;;;comtrade;no
Borax;272;kg;2528;;;;;;;comtrade;yes
Bromine;369;kg;280130;;;;;;;comtrade;no
Cadmium;101;kg;8107;;;CADEUMG;;;;comtrade;no
Calcite;16;kg;283650;;;;;;;comtrade;no
Carbon dioxide, in air;19;kg;;;;EEXEUAS;;;;none;no
Carbon, organic, in soil or biomass stock;93;kg;;;;EEXEUAS;;;;none;no
Carnallite;74;kg;3104;;;;;;;comtrade;no
Cerium;837;kg;284610;;;SREMCRM;;;;comtrade;yes
Chromium;32;kg;811221;;;SOTHCRM;;;;comtrade;no
Chrysotile;241;kg;252490;;;;;;;comtrade;no
Cinnabar;386;kg;2852;;;;;;;comtrade;no
Clay, bentonite;35;kg;250810;;;;;;;comtrade;no
Clay, unspecified;22;kg;2508;;;;;;;comtrade;no
Coal, brown;13;kg;2702;;;;;;;comtrade;no
Coal, hard;10;kg;270111;;;;;;;comtrade;no
Cobalt;442;kg;8105;;;LCOCSHC;PCOBA;ODA/PCOBA_USD;;imf;yes
Cobalt, Co 5.0E-2%, in mixed ore, in ground;415;kg;260500;;;;;;;comtrade;no
Colemanite;113;kg;2840;;;;;;;comtrade;no
Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore;67;kg;2603;;;;;;;comtrade;no
Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore;71;kg;2603;;;;;;;comtrade;no
Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore;82;kg;2603;;;;;;;comtrade;no
Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore;64;kg;2603;;;;;;;comtrade;no
Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore;139;kg;2603;;;;;;;comtrade;no
Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore;66;kg;2603;;;;;;;comtrade;no
Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore;119;kg;2603;;;;;;;comtrade;no
Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore;95;kg;2603;;;;;;;comtrade;no
Copper, Cu 0.2%, in mixed ore;265;kg;2603;;;;;;;comtrade;no
Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore;57;kg;2603;;;;;;;comtrade;no
Copper, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore;322;kg;2603;;;;;;;comtrade;no
Copper, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore;91;kg;2603;;;;;;;comtrade;no
Diatomite;609;kg;251200;;;;;;;comtrade;no
Dolomite;42;kg;2518;;;;;;;comtrade;no
Energy, geothermal, converted;6;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, gross calorific value, in biomass;3;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, gross calorific value, in biomass, primary forest;7;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, kinetic (in wind), converted;5;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, potential (in hydropower reservoir), converted;2;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, solar, converted;8;MJ;;;;;;;nrg_pc_205;eurostat;no
Europium;964;kg;;28053030;;SREOEXO;;;;comext;yes
Feldspar;197;kg;252910;;;;;;;comtrade;no
Fluorine;158;kg;280130;;;;;;;comtrade;no
Fluorine, 4.5% in apatite, 3% in crude ore;239;kg;280130;;;;;;;comtrade;no
Fluorspar;79;kg;252922;;;;;;;comtrade;yes
Gadolinium;952;kg;280530;;;SREMGXO;;;;comtrade;yes
Gallium;935;kg;;81129289;;GALLIUM;;;;comext;yes
Gangue, bauxite, in ground;15;kg;;;;;;;;none;no
Gas, mine, off-gas, process, coal mining/m3;462;m3;;;;;;;;none;no
Gas, natural/m3;463;m3;271121;;;;PNGASEU;ODA/PNGASEU_USD;;imf;no
Gold;327;kg;7108;;;;PGOLD;ODA/PGOLD_USD;;imf;no
Gold, Au 1.0E-7%, in mixed ore, in ground;792;kg;261690;;;;;;;comtrade;no
Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore;372;kg;261690;;;;;;;comtrade;no
Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore;361;kg;261690;;;;;;;comtrade;no
Gold, Au 1.8E-4%, in mixed ore;508;kg;261690;;;;;;;comtrade;no
Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore;418;kg;261690;;;;;;;comtrade;no
Gold, Au 4.3E-4%, in ore;378;kg;261690;;;;;;;comtrade;no
Gold, Au 4.9E-5%, in ore;331;kg;261690;;;;;;;comtrade;no
Gold, Au 5.4E-4%, Ag 1.5E-5%, in ore;497;kg;261690;;;;;;;comtrade;no
Gold, Au 6.7E-4%, in ore;325;kg;261690;;;;;;;comtrade;no
Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore;486;kg;261690;;;;;;;comtrade;no
Gold, Au 7.1E-4%, in ore;353;kg;261690;;;;;;;comtrade;no
Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore;410;kg;261690;;;;;;;comtrade;no
Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore;445;kg;261690;;;;;;;comtrade;no
Granite;472;kg;2516;;;;;;;comtrade;no
Gravel;11;kg;2517;;;;;;;comtrade;no
Gypsum;53;kg;2520;;;;;;;comtrade;no
Indium;228;kg;;81129281;;SMININD;;;;comext;yes
Iodine;430;kg;280120;;;;;;;comtrade;no
Iron;12;kg;7207;;;SHJNG22;PIORECR;ODA/PIORECR_USD;;imf;no
Kaolinite;136;kg;2507;;;;;;;comtrade;no
Kieserite;173;kg;253020;;;;;;;comtrade;no
Krypton;1001;kg;;;;;;;;none;no
Lanthanum;884;kg;280530;;;SREMLMT;;;;comtrade;yes
Lead;46;kg;7801;;;LEDCASH;PLEAD;ODA/PLEAD_USD;;imf;no
Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore;105;kg;2607;;;LEDOIAN;;;;comtrade;no
Lead, Pb 3.6E-1%, in mixed ore;246;kg;2607;;;LEDOIAN;;;;comtrade;no
Lithium;359;kg;283691;;;SMINLTM;;;;comtrade;yes
Magnesite;45;kg;251910;;;MAINGOT ;;;;comtrade;no
Manganese;47;kg;8111;;;MANGAFE;;;;comtrade;no
Metamorphous rock, graphite containing;118;kg;2504;;;;;;;comtrade;no
Molybdenum;140;kg;8102;;;LMYCSHC;PLMMODY;ODA/PLMMODY_USD;;imf;no
Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore;188;kg;2613;;;;;;;comtrade;no
Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore;248;kg;2613;;;;;;;comtrade;no
Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore;156;kg;2613;;;;;;;comtrade;no
Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore;170;kg;2613;;;;;;;comtrade;no
Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore;175;kg;2613;;;;;;;comtrade;no
Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore;163;kg;2613;;;;;;;comtrade;no
Neodymium;899;kg;;;2805300020;SREMNDM;;;;usitc;yes
Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore;121;kg;2604;;;;;;;comtrade;no
Nickel, 1.98% in silicates, 1.04% in crude ore;39;kg;2604;;;;;;;comtrade;no
Nickel, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore;103;kg;2604;;;;;;;comtrade;no
Nickel, Ni 2.5E+0%, in mixed ore, in ground;259;kg;2604;;;;;;;comtrade;no
Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore;107;kg;2604;;;;;;;comtrade;no
Nitrogen;21;kg;280430;;;;;;;comtrade;no
Oil, crude;17;kg;270900;;;;POILAPSP;ODA/POILAPSP_USD;;imf;no
Olivine;308;kg;283990;;;;;;;comtrade;no
Oxygen;14;kg;280440;;;;;;;comtrade;no
Palladium, Pd 1.6E-6%, in mixed ore, in ground;612;kg;711021;;;;;;;comtrade;no
Palladium, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore;334;kg;711021;;;;;;;comtrade;no
Palladium, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore;380;kg;711021;;;;;;;comtrade;no
Peat;54;kg;2703;;;;;;;comtrade;no
Perlite;326;kg;253010;;;;;;;comtrade;no
Phosphorus;159;kg;280470;;;;;;;comtrade;yes
Phosphorus, 18% in apatite, 4% in crude ore;120;kg;2510;;;;;;;comtrade;no
Platinum, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore;423;kg;261690;;;;;;;comtrade;no
Platinum, Pt 4.7E-7%, in mixed ore, in ground;677;kg;261690;;;;;;;comtrade;no
Platinum, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore;293;kg;261690;;;;;;;comtrade;no
Potassium chloride;83;kg;310420;;;;PPOTASH;ODA/PPOTASH_USD;;imf;no
Praseodymium;940;kg;;28053020;;SREMPRT;;;;comext;yes
Rhenium;737;kg;8112;;;RHERERE;;;;comtrade;no
Rhodium, Rh 1.6E-7%, in mixed ore, in ground;765;kg;2604;;2604000080;RHORERE;;;;usitc;no
Rhodium, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore;499;kg;2604;;2604000080;RHORERE;;;;usitc;no
Rhodium, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore;411;kg;2604;;2604000080;RHORERE;;;;usitc;no
Samarium;944;kg;280530;;;SREOSXO;;;;comtrade;yes
Sand;133;kg;2505;;;;;;;comtrade;no
Shale;85;kg;271410;;;;;;;comtrade;no
Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In;207;kg;261610;;;;;;;comtrade;no
Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore;521;kg;261610;;;;;;;comtrade;no
Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore;539;kg;261610;;;;;;;comtrade;no
Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore;641;kg;261610;;;;;;;comtrade;no
Silver, Ag 1.8E-6%, in mixed ore, in ground;604;kg;261610;;;;;;;comtrade;no
Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore;417;kg;261610;;;;;;;comtrade;no
Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore;231;kg;261610;;;;;;;comtrade;no
Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore;399;kg;261610;;;;;;;comtrade;no
Silver, Ag 5.4E-3%, in mixed ore;412;kg;261610;;;;;;;comtrade;no
Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore;453;kg;261610;;;;;;;comtrade;no
Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore;257;kg;261610;;;;;;;comtrade;no
Sodium chloride;20;kg;2501;;;;;;;comtrade;no
Sodium nitrate;588;kg;310250;;;;;;;comtrade;no
Sodium sulfate;135;kg;283311;;;;;;;comtrade;no
Spodumene;383;kg;282520;;;;;;;comtrade;no
Stibnite;757;kg;261710;;;;;;;comtrade;yes
Strontium;234;kg;283692;;;;;;;comtrade;yes
Sulfur;31;kg;2503;;;;;;;comtrade;no
Talc;132;kg;2526;;;;;;;comtrade;no
Tantalum;141;kg;8103;;;;;;;comtrade;yes
Tellurium;592;kg;;28045090;;SMINTLR;;;;comext;no
Tin;134;kg;8001;;;LTICASH;PTIN;ODA/PTIN_USD;;imf;no
TiO2, 54% in ilmenite, 18% in crude ore;109;kg;2614;;;;;;;comtrade;no
TiO2, 54% in ilmenite, 2.6% in crude ore;58;kg;2614;;;;;;;comtrade;no
TiO2, 95% in rutile, 0.40% in crude ore;102;kg;2614;;;;;;;comtrade;no
Ulexite;264;kg;2528;;;;;;;comtrade;no
Uranium;186;kg;261210;;;UXCUSPT;PURAN;ODA/PURAN_USD;;imf;no
Xenon;1085;kg;;;;;;;;none;no
Zinc;36;kg;7901;;;LZZCASH;PZINC;ODA/PZINC_USD;;imf;no
Zinc, Zn 0.63%, Au 9.7E-4%, Ag 9.7E-4%, Cu 0.38%, Pb 0.014%, in ore;100;kg;260800;;;;;;;comtrade;no
Zinc, Zn 3.1%, in mixed ore;167;kg;260800;;;;;;;comtrade;no
Zirconium;104;kg;261510;;;;;;;comtrade;no
